|                                        50th percentile latency | date-histogram-calendar-interval-with-tz |     280.782 |     ms |
|                                        60th percentile latency | date-histogram-calendar-interval-with-tz |     383.476 |     ms |
|                                        70th percentile latency | date-histogram-calendar-interval-with-tz |      495.29 |     ms |
|                                        75th percentile latency | date-histogram-calendar-interval-with-tz |      559.28 |     ms |
|                                        80th percentile latency | date-histogram-calendar-interval-with-tz |     636.788 |     ms |
|                                        90th percentile latency | date-histogram-calendar-interval-with-tz |     833.841 |     ms |
|                                        99th percentile latency | date-histogram-calendar-interval-with-tz |      1173.7 |     ms |
|                                      99.9th percentile latency | date-histogram-calendar-interval-with-tz |     1492.33 |     ms |
|                                       100th percentile latency | date-histogram-calendar-interval-with-tz |     1767.62 |     ms |
|                                   50th percentile service time | date-histogram-calendar-interval-with-tz |      235.32 |     ms |
|                                   90th percentile service time | date-histogram-calendar-interval-with-tz |     773.933 |     ms |
|                                   99th percentile service time | date-histogram-calendar-interval-with-tz |     1094.89 |     ms |
|                                 99.9th percentile service time | date-histogram-calendar-interval-with-tz |        1219 |     ms |
|                                  100th percentile service time | date-histogram-calendar-interval-with-tz |      1251.4 |     ms |
|                                                     error rate | date-histogram-calendar-interval-with-tz |           0 |      % |
|                                                 Min Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                                Mean Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                              Median Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                                 Max Throughput |            date-histogram-fixed-interval |         1.5 |  ops/s |
|                                      0th percentile throughput |            date-histogram-fixed-interval |     1.50013 |     ms |
|                                     25th percentile throughput |            date-histogram-fixed-interval |     1.50017 |     ms |
|                                     50th percentile throughput |            date-histogram-fixed-interval |     1.50025 |     ms |
|                                     75th percentile throughput |            date-histogram-fixed-interval |     1.50047 |     ms |
|                                    100th percentile throughput |            date-histogram-fixed-interval |     1.50361 |     ms |
|                                         0th percentile latency |            date-histogram-fixed-interval |     2.47398 |     ms |
|                                        10th percentile latency |            date-histogram-fixed-interval |     4.25789 |     ms |
|                                        20th percentile latency |            date-histogram-fixed-interval |     10.5542 |     ms |
|                                        25th percentile latency |            date-histogram-fixed-interval |     10.9209 |     ms |
|                                        30th percentile latency |            date-histogram-fixed-interval |     11.2671 |     ms |
|                                        40th percentile latency |            date-histogram-fixed-interval |     12.4394 |     ms |
|                                        50th percentile latency |            date-histogram-fixed-interval |     13.3112 |     ms |
|                                        60th percentile latency |            date-histogram-fixed-interval |     14.6932 |     ms |
|                                        70th percentile latency |            date-histogram-fixed-interval |     16.2341 |     ms |
|                                        75th percentile latency |            date-histogram-fixed-interval |     16.7561 |     ms |
|                                        80th percentile latency |            date-histogram-fixed-interval |       17.25 |     ms |
|                                        90th percentile latency |            date-histogram-fixed-interval |     18.6677 |     ms |
|                                        99th percentile latency |            date-histogram-fixed-interval |     23.2695 |     ms |
|                                      99.9th percentile latency |            date-histogram-fixed-interval |     27.2475 |     ms |
|                                       100th percentile latency |            date-histogram-fixed-interval |     397.032 |     ms |
|                                   50th percentile service time |            date-histogram-fixed-interval |     11.7683 |     ms |
|                                   90th percentile service time |            date-histogram-fixed-interval |     17.0241 |     ms |
|                                   99th percentile service time |            date-histogram-fixed-interval |     21.6596 |     ms |
|                                 99.9th percentile service time |            date-histogram-fixed-interval |     25.4577 |     ms |
|                                  100th percentile service time |            date-histogram-fixed-interval |     395.736 |     ms |
|                                                     error rate |            date-histogram-fixed-interval |           0 |      % |
|                                                 Min Throughput |    date-histogram-fixed-interval-with-tz |        1.47 |  ops/s |
|                                                Mean Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                              Median Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                                 Max Throughput |    date-histogram-fixed-interval-with-tz |         1.5 |  ops/s |
|                                      0th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.47195 |     ms |
|                                     25th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49646 |     ms |
|                                     50th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49811 |     ms |
|                                     75th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49871 |     ms |
|                                    100th percentile throughput |    date-histogram-fixed-interval-with-tz |     1.49902 |     ms |
|                                         0th percentile latency |    date-histogram-fixed-interval-with-tz |     2.35691 |     ms |
|                                        10th percentile latency |    date-histogram-fixed-interval-with-tz |     9.44495 |     ms |
|                                        20th percentile latency |    date-histogram-fixed-interval-with-tz |     49.7498 |     ms |
|                                        25th percentile latency |    date-histogram-fixed-interval-with-tz |     70.9726 |     ms |
|                                        30th percentile latency |    date-histogram-fixed-interval-with-tz |     93.5755 |     ms |
|                                        40th percentile latency |    date-histogram-fixed-interval-with-tz |     149.359 |     ms |
|                                        50th percentile latency |    date-histogram-fixed-interval-with-tz |     212.992 |     ms |
|                                        60th percentile latency |    date-histogram-fixed-interval-with-tz |     290.881 |     ms |
|                                        70th percentile latency |    date-histogram-fixed-interval-with-tz |     385.436 |     ms |
|                                        75th percentile latency |    date-histogram-fixed-interval-with-tz |     443.339 |     ms |
|                                        80th percentile latency |    date-histogram-fixed-interval-with-tz |      500.23 |     ms |
|                                        90th percentile latency |    date-histogram-fixed-interval-with-tz |     650.194 |     ms |
|                                        99th percentile latency |    date-histogram-fixed-interval-with-tz |     919.942 |     ms |
|                                      99.9th percentile latency |    date-histogram-fixed-interval-with-tz |      1053.1 |     ms |
|                                       100th percentile latency |    date-histogram-fixed-interval-with-tz |     1426.67 |     ms |
|                                   50th percentile service time |    date-histogram-fixed-interval-with-tz |     197.018 |     ms |
|                                   90th percentile service time |    date-histogram-fixed-interval-with-tz |     637.902 |     ms |
|                                   99th percentile service time |    date-histogram-fixed-interval-with-tz |     895.895 |     ms |
|                                 99.9th percentile service time |    date-histogram-fixed-interval-with-tz |     985.166 |     ms |
